cui,cue,nombre_escuela,nombre_utm,perido,modelo,mac_address,ip_publica,latitud,longitud,direccion,bw_gb,clientes,wan_appliances,wan_carrier,access_points,bw_educacion,bw_web,bw_streaming,bw_calls,bw_socialmedia,bw_updates,bw_otros
1408711,140139000,COMANDANTE ROSENDO LEAL-CIENAGA DEL CORO,UTM - CIENAGA DEL CORO,mar-26,MX68,14:9f:43:29:9a:92,148.227.121.157,-310.411,-652.825,"-31.0411,-65.2825","105,22",1044,1,Starlink,5,"29,46","23,15","18,94","12,63","8,42","7,37","5,26"
1409502,140373000,NICOLAS RODRIGUEZ PEÃ‘A-CINTRA,UTM - CINTRA,mar-26,MX68,6c:c3:b2:4e:e4:ae,153.67.7.171,-324.642,-627.427,"-32.4642,-62.7427","204,09",548,1,Starlink,5,"57,15","44,90","36,74","24,49","16,33","14,29","10,20"
1408233,140371400,ESCUELA SEMANA DE MAYO-COLAZO,UTM - COLAZO ,mar-26,MX68,e4:55:a8:7d:38:d1,153.67.7.171,-3.196.399,-6.338.189,"2JP9+C65 Colazo, CÃ³rdoba","179,55",550,1,Starlink,2,"50,27","39,50","32,32","21,55","14,36","12,57","8,98"
1409316,140314100,MARTIN GUEMES-COLONIA 25 LOS SURGENTES,UTM - COLONIA 25 LOS SURGENTES,mar-26,MX68,08:f1:b3:7d:b7:14,153.67.7.171,-3.288.894,-6.194.919,"4362+C8 Col. Veinticinco, CÃ³rdoba","108,98",141,1,Starlink,2,"30,51","23,98","19,62","13,08","8,72","7,63","5,45"
1409360,140325900,LEOPOLDO LUGONES-COLONIA ADELA,UTM - COLONIA ADELA,mar-26,MX68,6c:c3:b2:62:24:f7,153.67.7.40,-317.122.868,-632.539.693,"-31.7122868,	-63.2539693","74,75",559,1,Starlink,5,"20,93","16,45","13,46","8,97","5,98","5,23","3,74"
1408193,140028400,DR. RAMON J. CARCANO-COLONIA ANITA,UTM - COLONIA ANITA,mar-26,MX68,6c:c3:b2:4e:70:02,153.67.7.40,-3.111.788,-6.224.414,-3.111.889.184,"310,17",486,1,Starlink,2,"86,85","68,24","55,83","37,22","24,81","21,71","15,51"
1408510,140572801,I.P.E.M. N 421 - ANEXO COLONIA ARGENTINA,UTM - COLONIA ARGENTINA ANEXO,mar-26,MX68,6c:c3:b2:4e:70:85,153.67.7.40,-3.418.394,-6.441.594,47QQRH8M+CJ,"20,31",56,1,Starlink,2,"5,69","4,47","3,66","2,44","1,62","1,42","1,02"
1408684,140573602,I.P.E.M. N 425 - ANEXO COLONIA BEIRO-COLONIA BEIRO,UTM - COLONIA BEIRO,mar-26,MX68,6c:c3:b2:4e:70:8c,153.67.7.40,-3.070.594,-6.190.381,47XW73VW+JF,"24,30",303,1,Starlink,2,"6,80","5,35","4,37","2,92","1,94","1,70","1,22"
1408314,140390800,BERNARDINO RIVADAVIA-COLONIA BISMARCK,UTM - COLONIA BISMARCK,mar-26,MX68,6c:c3:b2:4e:70:87,153.67.7.40,-3.330.191,-6.271.467,"M7XP+64P Col. Bismarck, CÃ³rdoba","156,90",350,1,Starlink,2,"43,93","34,52","28,24","18,83","12,55","10,98","7,84"
1408192,140025300,ARMADA ARGENTINA-COLONIA CEFERINA,UTM - COLONIA CEFERINA,mar-26,MX68,6c:c3:b2:4e:70:6b,153.67.7.40,-3.104.114,-6.212.958,"XV5C+G5V PorteÃ±a, CÃ³rdoba","10,49",107,1,Starlink,2,"2,94","2,31","1,89","1,26","0,84","0,73","0,52"
